Phi[deg],Theta[deg],re(rEPhi)[mV]
30,-178,-3084.57
31,-178,-3034.63
32,-178,-2983.63
33,-178,-2931.6
34,-178,-2878.55
35,-178,-2824.52
36,-178,-2769.51
37,-178,-2713.55
38,-178,-2656.66
39,-178,-2598.87
40,-178,-2540.18
41,-178,-2480.63
42,-178,-2420.24
43,-178,-2359.02
44,-178,-2297.01
45,-178,-2234.23
46,-178,-2170.69
47,-178,-2106.43
48,-178,-2041.46
49,-178,-1975.81
50,-178,-1909.51
51,-178,-1842.58
52,-178,-1775.04
53,-178,-1706.92
54,-178,-1638.24
55,-178,-1569.03
56,-178,-1499.31
57,-178,-1429.12
58,-178,-1358.46
59,-178,-1287.38
60,-178,-1215.89
61,-178,-1144.02
62,-178,-1071.8
63,-178,-999.248
64,-178,-926.394
65,-178,-853.264
66,-178,-779.882
67,-178,-706.275
68,-178,-632.468
69,-178,-558.486
70,-178,-484.354
71,-178,-410.1
72,-178,-335.747
73,-178,-261.322
74,-178,-186.849
75,-178,-112.354
76,-178,-37.8613
77,-178,36.6036
78,-178,111.016
79,-178,185.351
80,-178,259.585
81,-178,333.693
82,-178,407.65
83,-178,481.433
84,-178,555.018
85,-178,628.38
86,-178,701.498
87,-178,774.346
88,-178,846.903
89,-178,919.145
90,-178,991.049
91,-178,1062.59
92,-178,1133.76
93,-178,1204.51
94,-178,1274.85
95,-178,1344.73
96,-178,1414.15
97,-178,1483.07
98,-178,1551.49
99,-178,1619.37
100,-178,1686.71
101,-178,1753.47
102,-178,1819.64
103,-178,1885.2
104,-178,1950.14
105,-178,2014.42
106,-178,2078.04
107,-178,2140.97
108,-178,2203.21
109,-178,2264.72
110,-178,2325.49
111,-178,2385.52
112,-178,2444.77
113,-178,2503.23
114,-178,2560.89
115,-178,2617.73
116,-178,2673.74
117,-178,2728.9
118,-178,2783.2
119,-178,2836.62
120,-178,2889.15
121,-178,2940.77
122,-178,2991.47
123,-178,3041.24
124,-178,3090.07
125,-178,3137.94
126,-178,3184.85
127,-178,3230.77
128,-178,3275.7
129,-178,3319.63
130,-178,3362.55
131,-178,3404.45
132,-178,3445.31
133,-178,3485.13
134,-178,3523.9
135,-178,3561.61
136,-178,3598.26
137,-178,3633.82
138,-178,3668.31
139,-178,3701.7
140,-178,3733.99
141,-178,3765.18
142,-178,3795.25
143,-178,3824.21
144,-178,3852.05
145,-178,3878.76
146,-178,3904.33
147,-178,3928.77
148,-178,3952.07
149,-178,3974.22
150,-178,3995.22
151,-178,4015.07
152,-178,4033.76
153,-178,4051.3
154,-178,4067.67
155,-178,4082.89
156,-178,4096.94
157,-178,4109.82
158,-178,4121.54
159,-178,4132.1
160,-178,4141.48
161,-178,4149.71
162,-178,4156.76
163,-178,4162.65
164,-178,4167.38
165,-178,4170.95
166,-178,4173.35
167,-178,4174.59
168,-178,4174.68
169,-178,4173.61
170,-178,4171.4
171,-178,4168.03
172,-178,4163.52
173,-178,4157.86
174,-178,4151.07
175,-178,4143.15
176,-178,4134.1
177,-178,4123.92
178,-178,4112.63
179,-178,4100.22
180,-178,4086.7
-180,-177,4099.34
-179,-177,4084.39
-178,-177,4068.39
-177,-177,4051.37
-176,-177,4033.32
-175,-177,4014.25
-174,-177,3994.17
-173,-177,3973.09
-172,-177,3951.02
-171,-177,3927.96
-170,-177,3903.93
-169,-177,3878.93
-168,-177,3852.97
-167,-177,3826.07
-166,-177,3798.22
-165,-177,3769.44
-164,-177,3739.74
-163,-177,3709.13
-162,-177,3677.61
-161,-177,3645.21
-160,-177,3611.92
-159,-177,3577.75
-158,-177,3542.73
-157,-177,3506.85
-156,-177,3470.13
-155,-177,3432.57
-154,-177,3394.2
-153,-177,3355.01
-152,-177,3315.02
-151,-177,3274.23
-150,-177,3232.67
-149,-177,3190.34
-148,-177,3147.25
-147,-177,3103.41
-146,-177,3058.83
-145,-177,3013.52
-144,-177,2967.5
-143,-177,2920.77
-142,-177,2873.34
-141,-177,2825.23
-140,-177,2776.45
-139,-177,2727
-138,-177,2676.9
-137,-177,2626.16
-136,-177,2574.79
-135,-177,2522.8
-134,-177,2470.21
-133,-177,2417.01
-132,-177,2363.23
-131,-177,2308.87
-130,-177,2253.95
-129,-177,2198.47
-128,-177,2142.46
-127,-177,2085.91
-126,-177,2028.84
-125,-177,1971.27
-124,-177,1913.19
-123,-177,1854.64
-122,-177,1795.6
-121,-177,1736.11
-120,-177,1676.16
-119,-177,1615.78
-118,-177,1554.97
-117,-177,1493.74
-116,-177,1432.11
-115,-177,1370.08
-114,-177,1307.68
-113,-177,1244.91
-112,-177,1181.79
-111,-177,1118.32
-110,-177,1054.52
-109,-177,990.407
-108,-177,925.989
-107,-177,861.28
-106,-177,796.293
-105,-177,731.041
-104,-177,665.539
-103,-177,599.799
-102,-177,533.836
-101,-177,467.664
-100,-177,401.296
-99,-177,334.749
-98,-177,268.035
-97,-177,201.171
-96,-177,134.17
-95,-177,67.049
-94,-177,-0.177115
-93,-177,-67.4926
-92,-177,-134.881
-91,-177,-202.327
-90,-177,-269.814
-89,-177,-337.325
-88,-177,-404.843
-87,-177,-472.351
-86,-177,-539.831
-85,-177,-607.267
-84,-177,-674.639
-83,-177,-741.93
-82,-177,-809.122
-81,-177,-876.196
-80,-177,-943.133
-79,-177,-1009.91
-78,-177,-1076.52
-77,-177,-1142.93
-76,-177,-1209.13
-75,-177,-1275.09
-74,-177,-1340.79
-73,-177,-1406.22
-72,-177,-1471.36
-71,-177,-1536.17
-70,-177,-1600.65
-69,-177,-1664.77
-68,-177,-1728.51
-67,-177,-1791.84
-66,-177,-1854.75
-65,-177,-1917.21
-64,-177,-1979.21
-63,-177,-2040.71
-62,-177,-2101.7
-61,-177,-2162.16
-60,-177,-2222.05
-59,-177,-2281.37
-58,-177,-2340.08
-57,-177,-2398.16
-56,-177,-2455.6
